bairro_origem,bairro_destino,logradouro,observação,peso
Brejo da Guabiraba,Brejo de Beberibe,R. Francisco Camarino,,
Brejo de Beberibe,Nova Descoberta,R. Pindaí,,
Brejo de Beberibe,Vasco da Gama,R. Diadema,,
Alto José Bonifácio,Brejo de Beberibe,Av. Ver. Otacílio Azevedo,,
Brejo de Beberibe,Linha do Tiro,R. Bismark de Freitas,,
Córrego do Jenipapo,Nova Descoberta,R. Alto do Venâncio,,
Córrego do Jenipapo,Macaxeira,R. Anita,,
Guabiraba,Pau-Ferro,Estr. do Orfanato,,
Macaxeira,Nova Descoberta,R. Antônio Carneiro,,
Cordeiro,Iputinga,R. Bom Pastor,,
Cordeiro,Engenho do Meio,R. Presidente Washington Luiz,,
Cordeiro,Torrões,Av. Inácio Monteiro,,
Cordeiro,San Martin,Av. Gen. San Martin,,
Cordeiro,Prado,R. Adelaíde,,
Cordeiro,Zumbi,R. Honório Correia,,
Cordeiro,Torre,R. Jornalista Luiz Teixeira,,
Ilha do Retiro,Madalena,Estr. dos Remédios,,
Ilha do Retiro,Prado,R. Padre Teófilo Tworz,,
Afogados,Ilha do Retiro,R. João Ivo da Silva,,
Caxangá,Iputinga,R. Min. João Aberto,,
Iputinga,Várzea,Av. Professor Chaves Batista,,
Cidade Universitária,Iputinga,R. Gáspar Pérez,,
Engenho do Meio,Iputinga,R. Manoel Estevão da Costa,,
Madalena,Torre,R. Real da Torre,,
Madalena,Zumbi,R. Paraguássu,,
Madalena,Prado,R. Austro Costa,,
Prado,Zumbi,R. Gomes Taborda,,
Bongi,Prado,Av. Eng. Abdias de Carvalho,,
Afogados,Prado,Estr. do Bongi,,
Torre,Zumbi,R. Conselheiro Theodoro,,
Cidade Universitária,Engenho do Meio,R. Lindolfo Color,,
Curado,Engenho do Meio,R. Antônio Curado,,
Engenho do Meio,Torrões,R. Araruna,,
San Martin,Torrões,R. Vinte e Um de Abril,,
Curado,Torrões,R. Dr. Flávio Ferreira da Silva Marojo,,
Caxangá,Várzea,R. Ribeiro Pessoa,,
Cidade Universitária,Várzea,Av. dos Economistas,,
Cidade Universitária,Curado,Av. Prof. Luiz Freire,,
Afogados,Mustardinha,R. Ernesto Cavalcanti,,
Afogados,Mangueira,Av. Central,,
Afogados,Jiquiá,R. São Miguel,,
Afogados,Imbiribeira,R. Arquiteto Luiz Nunes,,
Afogados,Bongi,R. Maria José de Lima,,
Bongi,San Martin,R. Doná Maria Augusta Nogueira,,
Bongi,Mustardinha,R. Pocrane,,
Mangueira,Mustardinha,R. Coração de Jesus,,
Mangueira,San Martin,R. Medina,,
Jiquiá,Mangueira,R. Palestina,,
Mustardinha,San Martin,R. Itaquari,,
Curado,San Martin,R. Cel. Mizael de Mendonça,,
Jardim São Paulo,San Martin,Av. Recife,,
Jiquiá,San Martin,R. Nova Europa,,
Areias,Jiquiá,R. Elizeu Cézar,,
Areias,Estância,R. Tupy,,
Areias,Jardim São Paulo,Av. São Paulo,,
Areias,Barro,R. Caruaru,,
Areias,Caçote,R. Luiz Sepúlveda,,
Estância,Jiquiá,R. Juarez Millet,,
Estância,Jardim São Paulo,R. Nossa Senhora de Fátima,,
Barro,Tejipió,R. Luiz Soares,,
Barro,Jardim São Paulo,R. Italacy,,
Barro,Cohab,Av. Engenho Muribeca,,
Coqueiral,Sancho,R. Manduzinho,,
Curado,Jardim São Paulo,R. Paulópolis,,
Curado,Sancho,R. André Mota,,
Curado,Totó,R. Leão XIII,,
Jardim São Paulo,Tejipió,R. Prof Henquire,,
Sancho,Totó,R. Serrinha,,
Sancho,Tejipió,R. Dracena,,
Curado,Tejipió,Estr. do Curado,,
Coqueiral,Tejipió,R. Alcântara,,
Coqueiral,Totó,R. Brumado,,
Boa Viagem,Jordão,Av. Júlio César,,
Boa Viagem,Ibura,Estr. de Ferro São Francisco,,
Boa Viagem,Imbiribeira,R. Soldado Sinésio de Aragão,,
Boa Viagem,Pina,R. Joaquim Carneiro da Silva,,
Brasília Teimosa,Pina,R. Artur Bernardes,,
Imbiribeira,Pina,R. São José,,
Imbiribeira,Ipsep,R. Itacaré,,
Ibura,Imbiribeira,R. Gonçalves Magalhães,,
Ibura,Ipsep,R. Aderbal de Melo,,
Ibura,Jordão,R. Edgar Campelo,,
Cohab,Ibura,R. Rio Tapado,,
Cohab,Jordão,R. Atalaia,,
Boa Viagem,Boa Viagem(Setúbal),Av. Visc. de Jequitinhonha,,
